MUNICIPIO,Y,X,W1,W2,N
Rio de Janeiro,0.592,0.0893700949,0.0919833053,0.0810122283,24337
São Paulo,0.635,0.0579873859,0.063385676,0.0426523297,21246
Belo Horizonte,0.622,0.0681326604,0.0732367457,0.0519353258,8322
Porto Alegre,0.589,0.0705340435,0.076718572,0.0505651398,6947
Curitiba,0.632,0.070439256,0.0731319555,0.06171875,5054
São Bernardo do Campo,0.641,0.1229850746,0.1319122644,0.1062639821,5025
Brasília,0.705,0.0900818926,0.0908236768,0.0872817955,4396
Recife,0.636,0.0677628301,0.0679094541,0.0673267327,4014
Fortaleza,0.679,0.073271028,0.07285483,0.0729927007,2675
Manaus,0.754,0.0568574721,0.0633232016,0.0349761526,2603
Goiânia,0.669,0.0619641465,0.0677436165,0.0432766615,2566
Belém,0.688,0.0467697186,0.0481991525,0.0409448819,2523
Florianópolis,0.626,0.087826087,0.0864197531,0.0901502504,2300
Salvador,0.668,0.0685687989,0.071952032,0.0595238095,2173
Natal,0.663,0.0565826331,0.0607028754,0.0469043152,1785
Campinas,0.622,0.0825635104,0.0864197531,0.0688073394,1732
Niterói,0.554,0.0865326021,0.0892710893,0.0761904762,1641
São Luís,0.721,0.0522827688,0.0572320499,0.0377833753,1358
Vitória,0.622,0.0824742268,0.0805223069,0.0847953216,1261
Campo Grande,0.665,0.0726210351,0.0688487585,0.0801282051,1198
Santos,0.533,0.0828625235,0.0858208955,0.0697674419,1062
João Pessoa,0.665,0.0717797443,0.0848765432,0.0460704607,1017
Guarulhos,0.684,0.0893665158,0.0907643312,0.0859375,884
São José dos Campos,0.652,0.0829326923,0.0837520938,0.0765957447,832
Juiz de Fora,0.595,0.1076523995,0.1061151079,0.1069767442,771
Maceió,0.694,0.0473684211,0.0471869328,0.043062201,760
Joinville,0.66,0.077247191,0.0850277264,0.0467836257,712
Uberlândia,0.649,0.0720338983,0.0757855823,0.0538922156,708
Macapá,0.786,0.0455840456,0.05078125,0.0315789474,702
Aracaju,0.685,0.09,0.087398374,0.0913461538,700
Duque de Caxias,0.657,0.1187683284,0.1276190476,0.0828025478,682
Vila Velha,0.638,0.0622222222,0.0647619048,0.0466666667,675
Cuiabá,0.691,0.0607476636,0.0556701031,0.0700636943,642
Teresina,0.701,0.0608,0.0683371298,0.0376344086,625
Sorocaba,0.641,0.1027732463,0.102173913,0.0980392157,613
São Gonçalo,0.617,0.1245901639,0.1298405467,0.1052631579,610
Santo André,0.599,0.0721311475,0.0779220779,0.0472972973,610
Pelotas,0.588,0.0873146623,0.0826086957,0.0952380952,607
Ribeirão Preto,0.626,0.0467937608,0.0501193317,0.0316455696,577
Guarujá,0.671,0.0945709282,0.0968523002,0.0886075949,571
Canoas,0.63,0.0910714286,0.0896551724,0.096,560
Peruíbe,0.616,0.1055456172,0.1154734411,0.0634920635,559
Petrópolis,0.592,0.1064981949,0.112195122,0.0833333333,554
Londrina,0.621,0.0725952813,0.0669975186,0.0810810811,551
Maringá,0.614,0.0698529412,0.0736342043,0.0487804878,544
Buenos Aires,0.687,0.0264150943,0.0264317181,0.0131578947,530
Blumenau,0.642,0.0742857143,0.0755667506,0.0625,525
Contagem,0.665,0.0909090909,0.0952380952,0.0683760684,495
Caxias do Sul,0.636,0.0639175258,0.0541237113,0.1030927835,485
Osasco,0.659,0.0920502092,0.1055718475,0.0510948905,478
Rio Branco,0.756,0.0795698925,0.0823170732,0.0656934307,465
Porto Velho,0.742,0.0714285714,0.0752089136,0.0582524272,462
Cabo Frio,0.644,0.1197339246,0.1101694915,0.1443298969,451
Palmas,0.781,0.0466666667,0.0460122699,0.0403225806,450
Gravataí,0.642,0.1325842697,0.1404494382,0.0898876404,445
Serra,0.706,0.0928074246,0.0914826498,0.0877192982,431
Ipatinga,0.656,0.1169451074,0.1067961165,0.1363636364,419
Santa Maria,0.605,0.0843373494,0.0903614458,0.0481927711,415
Nova Iguaçu,0.651,0.1075794621,0.1193548387,0.0606060606,409
Criciúma,0.64,0.0967741935,0.094637224,0.0930232558,403
Volta Redonda,0.593,0.0934343434,0.1074918567,0.0337078652,396
Boa Vista,0.773,0.0729166667,0.0776397516,0.0322580645,384
Santiago,0.57,0.0393700787,0.0355029586,0.0465116279,381
Novo Hamburgo,0.621,0.1029023747,0.1130742049,0.0625,379
Olinda,0.64,0.0519125683,0.0562248996,0.0341880342,366
Campina Grande,0.671,0.0724233983,0.0763052209,0.0545454545,359
Balneário Camboriú,0.626,0.0509915014,0.0541516245,0.0263157895,353
Macaé,0.693,0.0972644377,0.0867924528,0.125,329
Jundiaí,0.607,0.0738461538,0.0731707317,0.0759493671,325
Rio das Ostras,0.674,0.0949367089,0.0864197531,0.1095890411,316
Mogi das Cruzes,0.656,0.0830670927,0.0685483871,0.1230769231,313
Foz do Iguaçu,0.687,0.0900321543,0.0867768595,0.0869565217,311
Bauru,0.616,0.0909090909,0.0833333333,0.097826087,308
Piracicaba,0.625,0.0822368421,0.0701754386,0.1052631579,304
São José do Rio Preto,0.596,0.0660066007,0.0680851064,0.0441176471,303
Angra dos Reis,0.68,0.1029900332,0.1021276596,0.0909090909,301
Mossoró,0.686,0.0531561462,0.0491803279,0.0508474576,301
Anápolis,0.665,0.0668896321,0.0748898678,0.0416666667,299
Montes Claros,0.692,0.0780141844,0.08,0.0526315789,282
Divinópolis,0.624,0.0902527076,0.0934579439,0.0793650794,277
Cascavel,0.672,0.0948905109,0.0954773869,0.08,274
