MUNICIPIO,Y,X,W1,W2,N
Rio de Janeiro,0.468,0.0905396141,0.0810290009,0.1003684158,20422
São Paulo,0.474,0.057402162,0.0503611557,0.066975856,17299
Belo Horizonte,0.469,0.0681719496,0.0611083622,0.0781304499,6909
Porto Alegre,0.464,0.0666324084,0.0566037736,0.0800320128,5838
São Bernardo do Campo,0.483,0.1207939966,0.1111111111,0.1350059737,4131
Curitiba,0.477,0.0703529993,0.0577586207,0.0872328134,4051
Brasília,0.478,0.0883668904,0.0805687204,0.0971973763,3576
Recife,0.462,0.0663098424,0.0577540107,0.0770261219,3363
Fortaleza,0.468,0.0733302195,0.0642912471,0.0870588235,2141
Goiânia,0.477,0.0584011489,0.0632603406,0.0514018692,2089
Manaus,0.488,0.0579990333,0.0501296456,0.0679824561,2069
Belém,0.473,0.0491245136,0.044386423,0.0551267916,2056
Florianópolis,0.482,0.088865656,0.0717092338,0.1083798883,1913
Salvador,0.467,0.0698985344,0.0599250936,0.0849858357,1774
Natal,0.47,0.0544312631,0.0448979592,0.0750551876,1433
Campinas,0.482,0.072230014,0.068801898,0.077186964,1426
Niterói,0.463,0.0884303611,0.0834454913,0.0944625407,1357
São Luís,0.468,0.0563770795,0.0506134969,0.0651162791,1082
Vitória,0.47,0.08373436,0.0722689076,0.0990990991,1039
Campo Grande,0.485,0.0687179487,0.0652173913,0.073286052,975
Santos,0.458,0.0817757009,0.0582120582,0.112,856
João Pessoa,0.467,0.0695876289,0.0680529301,0.0728744939,776
Guarulhos,0.487,0.0875,0.0699774266,0.1155234657,720
São José dos Campos,0.49,0.0830945559,0.0773067332,0.0909090909,698
Juiz de Fora,0.473,0.1147798742,0.1101190476,0.12,636
Maceió,0.468,0.052545156,0.0431266846,0.0672268908,609
Duque de Caxias,0.481,0.1164725458,0.100286533,0.1388888889,601
Joinville,0.496,0.0761245675,0.0724637681,0.0815450644,578
Uberlândia,0.488,0.0686619718,0.0474777448,0.0995670996,568
Vila Velha,0.48,0.0631768953,0.0547945205,0.072519084,554
Aracaju,0.465,0.0947176685,0.0674157303,0.1450777202,549
Macapá,0.491,0.0471698113,0.0457142857,0.05,530
Sorocaba,0.489,0.1019230769,0.0891719745,0.1213592233,520
Pelotas,0.47,0.0810810811,0.0644067797,0.1031390135,518
Santo André,0.48,0.0665362035,0.0451388889,0.0941704036,511
São Gonçalo,0.475,0.1254901961,0.1098484848,0.1422764228,510
Teresina,0.468,0.0609037328,0.0511182109,0.0765306122,509
Cuiabá,0.489,0.0562248996,0.0456026059,0.0732984293,498
Canoas,0.482,0.0855949896,0.0802675585,0.0944444444,479
Guarujá,0.487,0.0928270042,0.0772357724,0.1096491228,474
