MUNICIPIO,Y,X,W1,W2,N
Rio de Janeiro,0.592,0.0895367281,0.094123193,0.0788478848,18283
São Paulo,0.635,0.0559910414,0.0627167901,0.0425374515,16074
Belo Horizonte,0.622,0.0684736091,0.0762362637,0.0504894384,6309
Porto Alegre,0.589,0.0672383551,0.0758815233,0.0472887768,5131
São Bernardo do Campo,0.641,0.1255594817,0.1390675241,0.1058622652,4245
Curitiba,0.632,0.0695784662,0.0722447475,0.0628571429,3938
Brasília,0.705,0.0888758093,0.0899328859,0.0859845228,3398
Recife,0.636,0.0707364341,0.0722038697,0.0675537359,3096
Fortaleza,0.679,0.0737937559,0.0732265446,0.0734744707,2114
Manaus,0.754,0.0521826392,0.0598845599,0.0329489292,1993
Belém,0.688,0.0472361809,0.0504754938,0.0401284109,1990
Goiânia,0.669,0.0557872784,0.0634674923,0.0383386581,1918
Florianópolis,0.626,0.0856144438,0.083041958,0.0890052356,1717
Salvador,0.668,0.0643028846,0.0683168317,0.0565749235,1664
Natal,0.663,0.0538461538,0.0584343991,0.0458891013,1430
Campinas,0.622,0.0871241326,0.0942111237,0.0697115385,1297
Niterói,0.554,0.0864691753,0.0915492958,0.0730478589,1249
São Luís,0.721,0.0494505495,0.0557142857,0.0357142857,1092
Vitória,0.622,0.0875,0.0879120879,0.0835913313,960
Campo Grande,0.665,0.0705882353,0.0632911392,0.0825082508,935
João Pessoa,0.665,0.0690505549,0.0852017937,0.0465753425,811
Santos,0.533,0.0803571429,0.0847145488,0.0663900415,784
Guarulhos,0.684,0.0967261905,0.1058823529,0.0809716599,672
São José dos Campos,0.652,0.07568438,0.0710659898,0.0792951542,621
Maceió,0.694,0.0492359932,0.0522193211,0.0388349515,589
Juiz de Fora,0.595,0.1006825939,0.094488189,0.1073170732,586
Aracaju,0.685,0.0861759425,0.0793201133,0.0931372549,557
Uberlândia,0.649,0.0744101633,0.0839694656,0.0443037975,551
Joinville,0.66,0.0776340111,0.0875331565,0.0487804878,541
Duque de Caxias,0.657,0.1197718631,0.1286089239,0.0896551724,526
Macapá,0.786,0.0419047619,0.0471976401,0.0322580645,525
Cuiabá,0.691,0.0637450199,0.0568181818,0.0733333333,502
Vila Velha,0.638,0.062248996,0.0668523677,0.0431654676,498
Teresina,0.701,0.0563380282,0.0632911392,0.0386740331,497
Pelotas,0.588,0.0920502092,0.0900900901,0.0896551724,478
Sorocaba,0.641,0.101910828,0.1055900621,0.0872483221,471
Santo André,0.599,0.0724946695,0.0813253012,0.0510948905,469
São Gonçalo,0.617,0.1220556745,0.1254019293,0.108974359,467
Peruíbe,0.616,0.1013513514,0.1141975309,0.0666666667,444
Guarujá,0.671,0.1038374718,0.1095890411,0.0927152318,443
Ribeirão Preto,0.626,0.0418604651,0.0437956204,0.0320512821,430
Buenos Aires,0.687,0.0256410256,0.0253521127,0.0135135135,429
Londrina,0.621,0.073286052,0.0678571429,0.0839160839,423
Petrópolis,0.592,0.1026252983,0.109540636,0.0808823529,419
Canoas,0.63,0.0771084337,0.0738255034,0.0769230769,415
Blumenau,0.642,0.0756097561,0.0750853242,0.0683760684,410
Maringá,0.614,0.0643564356,0.0664335664,0.0508474576,404
Contagem,0.665,0.085106383,0.0888030888,0.0683760684,376
Osasco,0.659,0.091152815,0.1101694915,0.0510948905,373
Rio Branco,0.756,0.0756756757,0.0801687764,0.0601503759,370
Caxias do Sul,0.636,0.0686813187,0.0594795539,0.0947368421,364
Palmas,0.781,0.0498614958,0.0495867769,0.0420168067,361
Porto Velho,0.742,0.0668604651,0.0728744939,0.0515463918,344
Serra,0.706,0.0828220859,0.0772727273,0.0849056604,326
Cabo Frio,0.644,0.1207430341,0.1163793103,0.1208791209,323
Ipatinga,0.656,0.1211180124,0.1131221719,0.1287128713,322
Santa Maria,0.605,0.0872274143,0.0962343096,0.0487804878,321
Gravataí,0.642,0.1365079365,0.1502145923,0.0853658537,315
Olinda,0.64,0.059602649,0.0695187166,0.0347826087,302
Nova Iguaçu,0.651,0.122923588,0.1463414634,0.0625,301
Criciúma,0.64,0.1020408163,0.1037735849,0.0853658537,294
Campina Grande,0.671,0.0761245675,0.0833333333,0.0550458716,289
Volta Redonda,0.593,0.0769230769,0.087804878,0.037037037,286
Novo Hamburgo,0.621,0.0921985816,0.1010638298,0.0638297872,282
Boa Vista,0.773,0.0892857143,0.0995475113,0.0338983051,280
Balneário Camboriú,0.626,0.0458015267,0.0481283422,0.0266666667,262
Mossoró,0.686,0.0564516129,0.053030303,0.0517241379,248
Jundiaí,0.607,0.0857142857,0.0872093023,0.0684931507,245
Santiago,0.57,0.0450819672,0.0443349754,0.0487804878,244
Foz do Iguaçu,0.687,0.0942622951,0.0903954802,0.0895522388,244
Piracicaba,0.625,0.0875,0.0727272727,0.1066666667,240
Anápolis,0.665,0.0627615063,0.0701754386,0.0441176471,239
Bauru,0.616,0.0920502092,0.0810810811,0.0989010989,239
Macaé,0.693,0.0966386555,0.0786516854,0.1333333333,238
Rio das Ostras,0.674,0.0889830508,0.0697674419,0.125,236
Mogi das Cruzes,0.656,0.0732758621,0.0581395349,0.1,232
Angra dos Reis,0.68,0.1057268722,0.1049382716,0.0923076923,227
Montes Claros,0.692,0.0762331839,0.0833333333,0.0363636364,223
Poço Fundo,0.577,0.0855855856,0.1020408163,0.04,222
São José do Rio Preto,0.596,0.0769230769,0.0897435897,0.0307692308,221
Barueri,0.697,0.1111111111,0.1006711409,0.1194029851,216
Divinópolis,0.624,0.0925925926,0.0974025974,0.0806451613,216
Queimados,0.677,0.1822429907,0.1870503597,0.16,214
Taubaté,0.636,0.1037735849,0.1323529412,0.0394736842,212
Cascavel,0.672,0.0947867299,0.0948905109,0.0810810811,211
Ribeirão Pires,0.632,0.1262626263,0.1465517241,0.0853658537,198
Passo Fundo,0.632,0.1071428571,0.1052631579,0.0952380952,196
Diadema,0.689,0.09375,0.0731707317,0.115942029,192
Ponta Grossa,0.664,0.0846560847,0.0797101449,0.0784313725,189
São Leopoldo,0.641,0.1117021277,0.0928571429,0.1458333333,188
Cariacica,0.681,0.1122994652,0.109375,0.1186440678,187
Ouro Branco,0.668,0.123655914,0.0852713178,0.1929824561,186
Praia Grande,0.641,0.0918918919,0.0789473684,0.0985915493,185
São Caetano do Sul,0.523,0.097826087,0.1138211382,0.0491803279,184
Americana,0.598,0.1215469613,0.1496062992,0.037037037,181
Betim,0.704,0.1123595506,0.0901639344,0.1428571429,178
Feira de Santana,0.703,0.0742857143,0.099009901,0.027027027,175
Chapecó,0.685,0.0747126437,0.0814814815,0.0256410256,174
Caruaru,0.694,0.0650887574,0.0578512397,0.0625,169
Governador Valadares,0.648,0.1017964072,0.081300813,0.1363636364,167
Itajaí,0.67,0.0848484848,0.0733944954,0.0892857143,165
Cachoeirinha,0.632,0.0981595092,0.0983606557,0.0731707317,163
Araruama,0.614,0.10625,0.1228070175,0.0434782609,160
Lages,0.642,0.1125,0.125,0.0625,160
Gramado,0.615,0.0754716981,0.0840336134,0.025,159
