MUNICIPIO,Y,X,W1,W2,N
Rio de Janeiro,0.468,0.0742798478,0.0673287909,0.0818987342,16559
São Paulo,0.474,0.0467181991,0.0424305315,0.0528395062,14748
Belo Horizonte,0.469,0.0565775772,0.0528158739,0.0620985011,5762
Porto Alegre,0.464,0.0545977011,0.0469352014,0.0654437283,4872
São Bernardo do Campo,0.483,0.1124595469,0.1072695035,0.120523416,3708
Curitiba,0.477,0.059374086,0.047571357,0.0759493671,3419
Brasília,0.478,0.0834398977,0.0766978923,0.0915492958,3128
Recife,0.462,0.0572717806,0.0495468278,0.0676998369,2881
Goiânia,0.477,0.052457206,0.0547445255,0.048951049,1811
Fortaleza,0.468,0.0624651422,0.0575342466,0.0702005731,1793
Belém,0.473,0.0397428404,0.0368474923,0.0435967302,1711
Manaus,0.488,0.0473653049,0.0430327869,0.0532959327,1689
Florianópolis,0.482,0.0750938673,0.0662177329,0.0862800566,1598
Salvador,0.467,0.0628683694,0.055075594,0.074875208,1527
Natal,0.47,0.0448,0.0396270396,0.056122449,1250
Campinas,0.482,0.065735415,0.0614754098,0.0721649485,1217
Niterói,0.463,0.0791304348,0.0733229329,0.0864440079,1150
São Luís,0.468,0.0447110142,0.0427046263,0.0478873239,917
Vitória,0.47,0.0685714286,0.0623781676,0.0773480663,875
Campo Grande,0.485,0.0567200986,0.0535331906,0.0610465116,811
Santos,0.458,0.06545961,0.0495283019,0.0884353741,718
João Pessoa,0.467,0.0636363636,0.0590809628,0.0738916256,660
Guarulhos,0.487,0.0685618729,0.0588235294,0.0848214286,598
São José dos Campos,0.49,0.0766609881,0.0712250712,0.0847457627,587
Maceió,0.468,0.0383877159,0.0308641975,0.0507614213,521
Juiz de Fora,0.473,0.0980392157,0.0950704225,0.1017699115,510
Joinville,0.496,0.0657084189,0.0666666667,0.064171123,487
Uberlândia,0.488,0.0588235294,0.034965035,0.0947368421,476
Duque de Caxias,0.481,0.0980810235,0.0798611111,0.1270718232,469
Macapá,0.491,0.0433839479,0.0454545455,0.0392156863,461
Vila Velha,0.48,0.0488888889,0.0452674897,0.0531400966,450
Aracaju,0.465,0.0848214286,0.0610169492,0.1307189542,448
Teresina,0.468,0.0589569161,0.0528301887,0.0681818182,441
Sorocaba,0.489,0.0829493088,0.0703703704,0.1036585366,434
Santo André,0.48,0.046728972,0.036,0.0617977528,428
Cuiabá,0.489,0.0462287105,0.0413533835,0.0551724138,411
São Gonçalo,0.475,0.1097560976,0.1036036036,0.1170212766,410
Pelotas,0.47,0.0761670762,0.0643776824,0.091954023,407
Canoas,0.482,0.0792079208,0.0730769231,0.0902777778,404
Guarujá,0.487,0.0804020101,0.0714285714,0.0904255319,398
Londrina,0.48,0.0745501285,0.0680851064,0.0844155844,389
Ribeirão Preto,0.48,0.0257731959,0.0321285141,0.0143884892,388
Buenos Aires,0.494,0.0316622691,0.0458715596,0.0124223602,379
Petrópolis,0.477,0.0756756757,0.0761904762,0.075,370
Maringá,0.481,0.0527777778,0.0432692308,0.0657894737,360
Peruíbe,0.488,0.0840336134,0.075,0.0886075949,357
Contagem,0.485,0.0880681818,0.0818965517,0.1,352
Blumenau,0.49,0.0489913545,0.0368663594,0.0692307692,347
Caxias do Sul,0.49,0.0625,0.0552995392,0.0756302521,336
Osasco,0.481,0.0503144654,0.0585365854,0.0353982301,318
Cabo Frio,0.488,0.1041009464,0.078313253,0.1324503311,317
Porto Velho,0.508,0.064516129,0.0503144654,0.0794701987,310
Palmas,0.494,0.0364238411,0.0205128205,0.0654205607,302
Rio Branco,0.487,0.0635451505,0.0470588235,0.0852713178,299
Gravataí,0.489,0.110738255,0.1055900621,0.1167883212,298
Novo Hamburgo,0.485,0.107266436,0.106741573,0.1081081081,289
Santiago,0.48,0.0242214533,0.0242718447,0.0240963855,289
Ipatinga,0.485,0.1052631579,0.0965909091,0.119266055,285
Criciúma,0.492,0.0711743772,0.0723684211,0.0697674419,281
Serra,0.492,0.0869565217,0.0759493671,0.1016949153,276
Nova Iguaçu,0.479,0.0698529412,0.0853658537,0.0462962963,272
Olinda,0.463,0.0520446097,0.0454545455,0.0608695652,269
Boa Vista,0.495,0.0485074627,0.041958042,0.056,268
Volta Redonda,0.477,0.0823970037,0.0666666667,0.1025641026,267
Santa Maria,0.474,0.0751879699,0.0617283951,0.0961538462,266
Campina Grande,0.473,0.0566801619,0.0643274854,0.0394736842,247
Jundiaí,0.487,0.0528455285,0.049689441,0.0588235294,246
Balneário Camboriú,0.476,0.0329218107,0.0218978102,0.0471698113,243
Bauru,0.485,0.0877192982,0.0699300699,0.1176470588,228
Macaé,0.496,0.0887850467,0.0983606557,0.0760869565,214
São José do Rio Preto,0.48,0.0576923077,0.0454545455,0.0789473684,208
Mossoró,0.484,0.0396039604,0.0375,0.0476190476,202
Foz do Iguaçu,0.485,0.055,0.0480769231,0.0625,200
Anápolis,0.488,0.0505050505,0.0535714286,0.0465116279,198
Mogi das Cruzes,0.487,0.0512820513,0.0636363636,0.0352941176,195
Poço Fundo,0.515,0.0769230769,0.0483870968,0.0902255639,195
Montes Claros,0.482,0.0625,0.0650406504,0.0579710145,192
São Leopoldo,0.487,0.0890052356,0.0731707317,0.1176470588,191
Rio das Ostras,0.494,0.0638297872,0.0515463918,0.0769230769,188
Piracicaba,0.489,0.0591397849,0.0631578947,0.0549450549,186
Divinópolis,0.487,0.0752688172,0.0508474576,0.1176470588,186
Ponta Grossa,0.486,0.0558659218,0.0198019802,0.1025641026,179
Ribeirão Pires,0.489,0.1206896552,0.1037735849,0.1470588235,174
Cascavel,0.488,0.0747126437,0.0673076923,0.0857142857,174
Praia Grande,0.481,0.1040462428,0.0982142857,0.1147540984,173
Angra dos Reis,0.5,0.0639534884,0.0625,0.0652173913,172
Barueri,0.486,0.0639534884,0.0471698113,0.0909090909,172
Passo Fundo,0.476,0.0952380952,0.0707070707,0.1304347826,168
Americana,0.49,0.0987654321,0.09,0.1129032258,162
Queimados,0.483,0.1552795031,0.1222222222,0.1971830986,161
Taubaté,0.491,0.0817610063,0.0879120879,0.0735294118,159
Diadema,0.484,0.0880503145,0.0849056604,0.0943396226,159
São Caetano do Sul,0.461,0.0569620253,0.0588235294,0.0535714286,158
Ouro Branco,0.498,0.050955414,0.05,0.0515463918,157
Betim,0.493,0.0955414013,0.0737704918,0.1714285714,157
Chapecó,0.494,0.0576923077,0.0681818182,0.0441176471,156
Feira de Santana,0.474,0.0522875817,0.0235294118,0.0882352941,153
Viamão,0.487,0.0789473684,0.0543478261,0.1166666667,152
Nova Friburgo,0.479,0.0855263158,0.0588235294,0.1071428571,152
Cachoeirinha,0.483,0.0939597315,0.064516129,0.1428571429,149
Gramado,0.486,0.0536912752,0.0659340659,0.0344827586,149
Governador Valadares,0.475,0.0878378378,0.0697674419,0.1129032258,148
Marília,0.483,0.0342465753,0.0202020202,0.0638297872,146
