MUNICIPIO,Y,X,W1,W2,N
Rio de Janeiro,0.468,0.1103314957,0.0956014985,0.126035503,13967
São Paulo,0.474,0.0692376536,0.0604683196,0.0818922679,12291
Belo Horizonte,0.469,0.0868134129,0.074811256,0.1047765794,4861
Porto Alegre,0.464,0.0920019627,0.0769549028,0.1139240506,4076
São Bernardo do Campo,0.483,0.1388227288,0.1252115059,0.1595197256,2939
Curitiba,0.477,0.0861209964,0.065351418,0.1144781145,2810
Brasília,0.478,0.1049814739,0.0944574551,0.1167247387,2429
Recife,0.462,0.088014153,0.0767459708,0.1033402923,2261
Fortaleza,0.468,0.0983713355,0.0834236186,0.1209150327,1535
Goiânia,0.477,0.0751523358,0.0734463277,0.0777027027,1477
Manaus,0.488,0.0766574586,0.0664251208,0.0903225806,1448
Belém,0.473,0.0657894737,0.0558194774,0.0797342193,1444
Florianópolis,0.482,0.1033690658,0.081232493,0.1300675676,1306
Salvador,0.467,0.0874587459,0.0765239948,0.1065759637,1212
Natal,0.47,0.0791505792,0.0586592179,0.125,1036
Campinas,0.482,0.0912820513,0.0882852292,0.0958549223,975
Niterói,0.463,0.1107491857,0.113243762,0.1075,921
São Luís,0.468,0.0632258065,0.0550847458,0.0759075908,775
Vitória,0.47,0.103021978,0.0841346154,0.1282051282,728
Campo Grande,0.485,0.0929878049,0.0916230366,0.0948905109,656
Santos,0.458,0.0903010033,0.0555555556,0.13671875,598
João Pessoa,0.467,0.0720887246,0.0706806283,0.0754716981,541
Guarulhos,0.487,0.0944558522,0.07,0.1336898396,487
São José dos Campos,0.49,0.0897703549,0.0869565217,0.0935960591,479
Juiz de Fora,0.473,0.1341991342,0.1265306122,0.1428571429,462
Maceió,0.468,0.0847058824,0.0754716981,0.1,425
Joinville,0.496,0.0862944162,0.0889830508,0.082278481,394
Uberlândia,0.488,0.0769230769,0.0517241379,0.1139240506,390
Santo André,0.48,0.0857142857,0.0694444444,0.1065088757,385
Duque de Caxias,0.481,0.1227154047,0.1096491228,0.1419354839,383
Vila Velha,0.48,0.0890052356,0.0696517413,0.1104972376,382
Aracaju,0.465,0.1122994652,0.0830039526,0.173553719,374
Sorocaba,0.489,0.1046831956,0.0786026201,0.1492537313,363
Macapá,0.491,0.0681818182,0.0683760684,0.0677966102,352
Teresina,0.468,0.0859598854,0.0735930736,0.1101694915,349
São Gonçalo,0.475,0.1403508772,0.1129943503,0.1696969697,342
Pelotas,0.47,0.0911764706,0.0670103093,0.1232876712,340
Guarujá,0.487,0.1012269939,0.0872093023,0.1168831169,326
Ribeirão Preto,0.48,0.0559006211,0.0588235294,0.0508474576,322
Cuiabá,0.489,0.0668789809,0.0579710145,0.0841121495,314
