MUNICIPIO,Y,X,W1,W2,N
Rio de Janeiro,0.592,0.1091431307,0.1185976186,0.0926590538,16712
São Paulo,0.635,0.0698643731,0.0803147909,0.053262545,15115
Belo Horizonte,0.622,0.0870528109,0.0993936198,0.0640346654,5870
Porto Alegre,0.589,0.0957838723,0.1114938929,0.0655640874,4886
São Bernardo do Campo,0.641,0.1414113017,0.1568831169,0.1225490196,3557
Curitiba,0.632,0.0873648264,0.0978509374,0.0693293142,3514
Brasília,0.705,0.1082077052,0.1190998902,0.0911435942,2985
Recife,0.636,0.0895301517,0.093373494,0.0824544583,2703
Fortaleza,0.679,0.0945663532,0.0997177799,0.0869565217,1914
Goiânia,0.669,0.0768808347,0.0932420873,0.0475460123,1821
Manaus,0.754,0.071192053,0.088772846,0.0392156863,1812
Belém,0.688,0.0618966496,0.0631290027,0.0598802395,1761
Florianópolis,0.626,0.1002554278,0.1044467425,0.0918196995,1566
Salvador,0.668,0.0894418292,0.1001206273,0.0744680851,1487
Natal,0.663,0.0774647887,0.0906593407,0.0581818182,1278
Campinas,0.622,0.101095198,0.1073825503,0.0882352941,1187
Niterói,0.554,0.1092511013,0.1262411348,0.0813953488,1135
São Luís,0.721,0.0605128205,0.0688405797,0.0472813239,975
Vitória,0.622,0.1089670829,0.1172022684,0.09375,881
Campo Grande,0.665,0.0970515971,0.1,0.0895061728,814
Santos,0.533,0.0969945355,0.1089324619,0.0732600733,732
João Pessoa,0.665,0.0734072022,0.0916905444,0.0536193029,722
Guarulhos,0.684,0.1009771987,0.1181318681,0.072,614
São José dos Campos,0.652,0.0942408377,0.0943952802,0.0897435897,573
Juiz de Fora,0.595,0.1317689531,0.1411411411,0.1131221719,554
Maceió,0.694,0.08,0.0897435897,0.0610328638,525
Uberlândia,0.649,0.0792682927,0.099378882,0.0411764706,492
Aracaju,0.685,0.1036585366,0.1098484848,0.0921052632,492
Joinville,0.66,0.087755102,0.1075949367,0.0459770115,490
Macapá,0.786,0.0663811563,0.0690909091,0.0572916667,467
Vila Velha,0.638,0.0860215054,0.0897435897,0.0718954248,465
Santo André,0.599,0.0864745011,0.1026490066,0.0469798658,451
Teresina,0.701,0.0881670534,0.0970464135,0.0721649485,431
Sorocaba,0.641,0.1067285383,0.118705036,0.0784313725,431
